It depends on if you ever registered the birth .	registered	6	Past	0,4,5,7,-14,-12,-10,-9,-4
Martin 's box is working wonderfully - I 'll have everything transferred to it and give him the keys by Friday .	transferred	11	Past	0,-3
We aim to investigate the contributions of the use of a system that integrates cognitive digital games to a database , of the Escola do Cérebro , for monitoring and improvement of cognitive skills , highlighting the attention .	aim	1	Pres	0,1,3,9,10,11,13,15,-13,-12,-11,-6,-1
With the development of artificial twines the sisal boom ended , and Mérida slowed to a more sleepy provincial capital until development picked back up in the late 20th century .	slowed	13	Past	0,6,-19,14,17,-14,-11,-10,-7,-5,-1
If they 're going kinda slow and like fake biting ( not biting as hard as they can ) , and fake scratching ( not hitting as hard as they can with their paws ) then they 're playing .	biting	9	Pres	0,1,6,-19,-10,-1
And his apartment is so run down down I 'm afraid roaches might be crawling over the baby .	crawling	14	Pres	0,15,16,-15,-2
Now truck fenders are rusting there , the twentieth century adding its crumbling metal to the great Jerusalem dust mixture .	rusting	4	Pres	0,2,3,8,-19,-18,-14,19,-11,-2,-9,-1
The moving company is actualy based in Brooklyn , but advertised all over NY / NJ , including Fort Lee .	advertised	10	Past	0,19,-13
that OBSF values within the extended trial balance may be misstated due to data issues ( above and beyond existing conversations with AA on model simplifications )	misstated	10	Past	0,-1
$ 401.3 b - Proposed military budget for 2004 .	Proposed	4	Past	-8,0
Do you raid terrorist headquarters , hidden in a mental hospital ?	hidden	6	Past	0,2,9,10,12,13,14,-9,-5,-4,-2
Numbered streets run East / West with Main Street and the Arkansas River as the dividing line .	run	2	Pres	0,1,7,-13,19
Just recently discovered them last time I was down there , they 're very nice ) www.kaffeeeis.co.nz	discovered	2	Past	0,4,12,-17,19,-11,-5,-4
The Wolfson Foundation of London has paid for the planting of gardens , and Arab kids are kicking a soccer ball in the green bottom of the valley .	planting	9	Pres	0,-13
""" Across the United States , the northern edge of species ' range is expanding , "" she said ."	expanding	14	Pres	0,5,11,13,-18,14,16,-15,-13,-12,-7,-5,-4
"ESAI contributes oil and gas input price forecasts , capacity judgments , and "" herding "" ideas to develop power price forecasts for same time periods ."	contributes	1	Pres	0,1,2,5,-5,-2
Every time the elevator reaches a new floor , say “ ding ! ” very loudly .	reaches	4	Pres	0,-14,-12
There are a number of key points that I would like to address before concluding .	concluding	14	Pres	0,5,7,9,16,-7,-3,-1
You either 1 ) sacrifice on breadth and do n't produce the topics that wo n't interest advertisers , or 2 ) you sacrifice on quality and produce content that does n't cost much to write .	sacrifice	4	Pres	0,4,6,7,11,-20,12,14,-18,15,-14,-1,-4,-3,-2
The doctor bares my mother ’s arm , where the crepey flesh hangs loosely on the bones .	bares	2	Pres	0,3,4,5,7,9,12,13,19,-12,-10,-9,-4,-3,-2
They have been accumulating for years , and basically give the president to sieze the government whenever he feels like it .	accumulating	3	Pres	0,9
Just as he opened his mouth to speak , he was interrupted by a clattering of keys at the front door , the sound of the door opening and then slamming shut , and a burst of voices .	clattering	14	Pres	0,1,3,8,13,14,-17,16,18,-13,-14,-9
The reality is that it stands for and operationalizes US power , in cooperation with America 's closest allies .	operationalizes	8	Pres	0,1,11,13,-19,15,16,-15,17,-17,18,-13,-16,-7,-4,-3,-2
Huge amounts of money , which could have solved many social problems in this dysfunctional part of the world , are channeled into three concentric spheres supporting death and murder .	solved	8	Past	0,5,7,8,11,-20,-18,15,-14,19,-9,-8,-7,-6,-2
Why , how can i build up realtion ship with him he is also not useing the thing that he runs on and he wakes up walks around and goes to sleep again ???	wakes	24	Pres	0,1,5,6,10,13,-17,16,17,-15,19,-14,-13,-12,-7,-5,-3
However , if they have been vomiting numerous times , then the blood could be due to irritation of the stomach and intestines .	vomiting	6	Pres	0,1,2,7,9,11,-20,13,-16,-15,18,-14,19,-8,-4,-2
A page created using Microsoft Access 2000 must be converted before it can be used with Access 2002 .	converted	9	Past	0,1,2,4,5,7,9,-20,13,18,-11,-1,-5,-3,-2
in the end , however , it pays to differentiate .	pays	7	Pres	0,5,-19,-16,-14,19,-13,-3
Worse for Israel , the assassination drew a denunciation even from the moderate and cautious Grand Ayatollah Ali Sistani , who wields enormous moral authority over Iraqi Shiites .	wields	21	Pres	0,3,4,11,-20,13,15,-12,-10,-9,-6,-4,-3
A small number of actions geared on the protection against currency counterfeiting are carried out under other Community programmes , such as TAIEX and Twinning .	geared	5	Past	0,5,12,-15,-9
But in the meantime , highly recommend jeans and long sleeves anytime you 'll be interacting with the kittens .	interacting	15	Pres	0,1,2,3,12,13,-19,15,-16,-17,-13,-8,-7,-4
We took it back in to have it repaired again , and less than a week later the second compressor went out .	repaired	8	Past	0,11,13,-2
Like the previous poster said , the com lines are split between the entire building .	split	10	Past	0,2,3,6,8,-20,-19,-18,-16,-13,-12,-11,-8,-4
They showed some kids on TV , and they were quite taken with it .	showed	1	Past	0,8,9,-20,-19,15,19,-12,-11,-10,-8
Give me a call Tuesday afternoon to discuss ( gone to Kelowna golfing for the weekend ) .	gone	9	Past	0,2,6,8,10,11,-18,16,-8,-2
But there was one yet – the biggest , the most blank , so to speak – that I had a hankering after .	hankering	21	Pres	0,2,3,11,14,-18,16,18,19,-10,-9,-1
We look to the Commission also to ensure that there is matched funding for projects .	matched	11	Past	0,-15,-18,-17
